"TINWSYS_IS_NUMBER","WATER_SYSTEM_NUMBER","SYSTEM_NAME","REGULATING_AGENCY","COUNTY","FEDERAL_CLASSIFICATION_TYPE","SERVICE_CONNECTIONS","POPULATION","OWNER_TYPE","PL_ADDRESS","PL_ADDRESS_CITY_NAME","PL_ADDRESS_STATE_CODE","PL_ADDRESS_ZIP_CODE","LATITUDE_MEASURE","LONGITUDE_MEASURE","SERVICE_AREA_ECONOMIC_STATUS","MHI","CALENVIRO_SCREEN_SCORE","RISK_ASSESSMENT_RESULT","CURRENT_FAILING","FINAL_SAFER_STATUS","FAILING_START_DATE","PRIMARY_MCL_VIOLATION","PRIMARY_ANALYTES","SECONDARY_MCL_VIOLATION","SECONDARY_ANALYTES","E_COLI_VIOLATION","E_COLI_ANALYTES","TREATMENT_TECHNIQUE_VIOLATION","TT_ANALYTES","MONITORING_AND_REPORTING_VIOLATION","MONITORING_AND_REPORTING_ANALYTES","SOURCE_CAPACITY_VIOLATION","SOURCE_CAPACITY_ANALYTES","TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT","WEIGHTED_WATER_QUALITY_SCORE","WATER_QUALITY_SCORE","WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","WATER_QUALITY_RISK_LEVEL","WEIGHTED_ACCESSIBILITY_SCORE","ACCESSIBILITY_SCORE","ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","ASSESSIBILITY_RISK_LEVEL","WEIGHTED_AFFORDABILITY_SCORE","AFFORDABILITY_SCORE","AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","AFFORDABILITY_RISK_LEVEL","WEIGHTED_TMF_CAPACITY_SCORE","TMF_CAPACITY_SCORE","TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","TMF_CAPACITY_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET","HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE","HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET","TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL","PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET","PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET","CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_THRESHOLD_MET","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_THRESHOLD_MET","NUMBER_OF_WATER_SOURCES_RAW_SCORE","NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE","ABESENCE_OF_INTERTIES_RISK_LEVEL","ABESENCE_OF_INTERTIES_THRESHOLD_MET","ABESENCE_OF_INTERTIES_RAW_SCORE","ABESENCE_OF_INTERTIES_WEIGHTED_SCORE","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET","SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE","SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE","EXTREME_WATER_BILL_RISK_LEVEL","EXTREME_WATER_BILL_THRESHOLD_MET","EXTREME_WATER_BILL_RAW_SCORE","EXTREME_WATER_BILL_WEIGHTED_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL","HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE","TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL","TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET","TOTAL_NET_ANNUAL_INCOME_RAW_SCORE","TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE","OPERATING_RATIO_RISK_LEVEL","OPERATING_RATIO_THRESHOLD_MET","OPERATING_RATIO_RAW_SCORE","OPERATING_RATIO_WEIGHTED_SCORE","DAYS_CASH_ON_HAND_RISK_LEVEL","DAYS_CASH_ON_HAND_THRESHOLD_MET","DAYS_CASH_ON_HAND_RAW_SCORE","DAYS_CASH_ON_HAND_WEIGHTED_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET","OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET","MONITORING_AND_REPORTING_VIOLATIONS_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE","SIGNIFICANT_DEFICIENCIES_RISK_LEVEL","SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET","SIGNIFICANT_DEFICIENCIES_RAW_SCORE","SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE","FUNDING_RECEIVED_SINCE_2017","TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017","LEGISTATIVE_DISTRICT","REGIONAL_BOARD","CREATED_DATE"
5508,"CA4910028","SWEETWATER SPRINGS CWD - MONTE RIO","DISTRICT 18 - SONOMA","SONOMA","COMMUNITY",1065,3000,"LOCAL","20890 Highway 116","MONTE RIO","CA","95462",38.470942,-123.023691,"SDAC","41776","12.8590144942316","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.00","0.25","0.08","0.13","LOW","0.33","0.17","0.17","LOW","1.42","1.42","0.71","HIGH","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","MEDIUM","1.5% or greater AND less than 2.5%","0.75","2.40","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,5575.00,"State Senate District 2","Region 1 North Coast","2025-11-02"
5509,"CA4910029","CAMP MEEKER WATER SYSTEM","DISTRICT 18 - SONOMA","SONOMA","COMMUNITY",356,1171,"LOCAL","Camp Meeker Recreation & Park District, 5240 Bohemian Hwy","CAMP MEEKER","CA","95419",38.424884,-122.957954,"Non-DAC","81652","10.6006494045732","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.83","0.00","0.00","0.00","NONE","1.50","0.75","0.82","HIGH","0.00","0.00","0.00","NONE","0.33","0.17","0.18","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","LOW","Top 25% of systems most at risk of drought and water shortage","0.25","0.50","NONE","No sources within a Critically Overdrafted Basin","0","0","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","HIGH","Less than 1","1","1.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 2","Region 1 North Coast","2025-11-02"
5523,"CA4910701","U.S. COAST GUARD TRAINING CENTER","DISTRICT 18 - SONOMA","SONOMA","COMMUNITY",217,469,"FEDERAL GOVERNMENT","599 Tomales Road - Building 150","PETALUMA","CA","94952",38.250209,-122.790132,"DAC","59250","13.4434975107137","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.00","0.00","0.00","0.00","NONE","1.00","0.50","1.00","MEDIUM","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","NONE","1 or more interties","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 2","Region 1 North Coast","2025-11-02"
7315,"CA5000005","CROWS LANDING COMM SVC DISTRICT","LPA80 - STANISLAUS COUNTY","STANISLAUS","COMMUNITY",138,500,"LOCAL","4th Street","CROWS LANDING","CA","95313",37.393354,-121.072439,"SDAC","26667","38.3480429097242","Potentially At-Risk","Failing","Failing","2025-10-01","NO","N/A","NO","N/A","NO","N/A","NO","N/A","YES","1,2,3-TRICHLOROPROPANE; NITRATE; PERCHLORATE","NO","N/A","3.05","1.13","0.38","0.37","LOW","1.00","0.50","0.33","MEDIUM","0.75","0.75","0.25","MEDIUM","0.17","0.08","0.06","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","0.75","2.25","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","MEDIUM","1.5% or greater AND less than 2.5%","0.75","2.40","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",1320680.75,108161.58,"State Senate District 12","Region 5 Central Valley (Sacramento Office)","2025-11-02"
7399,"CA5000008","KNIGHTS FERRY COMM. SVC. DIST.","LPA80 - STANISLAUS COUNTY","STANISLAUS","COMMUNITY",67,168,"LOCAL","12801 LYNDE STREET","KNIGHTS FERRY","CA","95361",37.820283,-120.670181,"SDAC","48933","31.0302150095487","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","4.42","1.75","0.58","0.40","MEDIUM","1.50","0.75","0.34","HIGH","1.00","1.00","0.23","HIGH","0.17","0.08","0.04","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","LOW","Top 25% of systems most at risk of drought and water shortage","0.25","0.50","NONE","No sources within a Critically Overdrafted Basin","0","0","UNKNOWN","UNKNOWN","MISSING","MISSING","UNKNOWN","UNKNOWN","MISSING","MISSING","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",735500.00,25617.06,"State Senate District 8","Region 5 Central Valley (Sacramento Office)","2025-11-02"
7400,"CA5000010","TID/ LA GRANGE WATER SYSTEM","LPA80 - STANISLAUS COUNTY","STANISLAUS","COMMUNITY",61,195,"LOCAL","30272 FLOTO STREET","LA GRANGE","CA","95329",37.663272,-120.463615,"SDAC","5156","30.0172842106916","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.25","0.25","0.08","0.11","LOW","0.33","0.17","0.15","LOW","1.00","1.00","0.44","HIGH","0.67","0.33","0.30","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","HIGH","2.5% or greater","1.0","3.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 8","Region 5 Central Valley (Sacramento Office)","2025-11-02"
7316,"CA5000013","OID #45","LPA80 - STANISLAUS COUNTY","STANISLAUS","COMMUNITY",51,144,"LOCAL","2700 OAKHURST","OAKDALE","CA","95361",37.784974,-120.814221,"Non-DAC","86667","30.0818857975811","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.00","0.00","0.00","0.00","NONE","0.33","0.17","0.33","LOW","0.00","0.00","0.00","NONE","0.67","0.33","0.67","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 8","Region 5 Central Valley (Sacramento Office)","2025-11-02"
7317,"CA5000014","OID #46 - SUNSET OAKS","LPA80 - STANISLAUS COUNTY","STANISLAUS","COMMUNITY",79,269,"LOCAL","9824 DILLWOOD","OAKDALE","CA","95361",37.781987,-120.786108,"Non-DAC","86667","30.0818857975811","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","0.33","0.00","0.00","0.00","NONE","0.33","0.17","1.00","LOW","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 8","Region 5 Central Valley (Sacramento Office)","2025-11-02"
7318,"CA5000015","OID #22 - WILLIAMS TRACT","LPA80 - STANISLAUS COUNTY","STANISLAUS","COMMUNITY",53,150,"LOCAL","60 S STEARNS","OAKDALE","CA","95361",37.773796,-120.818929,"SDAC","57014","41.0450678125486","Potentially At-Risk","Not Failing","Potentially At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.50","0.00","0.00","0.00","NONE","1.50","0.75","0.60","HIGH","0.33","0.33","0.13","LOW","0.67","0.33","0.27","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","LOW","Top 25% of systems most at risk of drought and water shortage","0.25","0.50","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 8","Region 5 Central Valley (Sacramento Office)","2025-11-02"
7320,"CA5000017","PARK HEIGHTS MUTUAL WATER CO","LPA80 - STANISLAUS COUNTY","STANISLAUS","COMMUNITY",95,250,"PRIVATE","2117 PARK RIDGE DRIVE","MODESTO","CA","95367",37.739385,-120.959565,"DAC","58984","39.4725588351336","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.91","0.25","0.08","0.13","LOW","0.33","0.17","0.17","LOW","1.33","1.33","0.70","HIGH","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","HIGH","2.5% or greater","1.0","3.00","HIGH","Equal to or greater than 200% of statewide average","1.0","1.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 5","Region 5 Central Valley (Sacramento Office)","2025-11-02"
7321,"CA5000019","RIVERDALE PARK TRACT CSD","LPA80 - STANISLAUS COUNTY","STANISLAUS","COMMUNITY",180,610,"PRIVATE","2426 RIVERDALE AVE","MODESTO","CA","95352",37.610079,-121.036466,"SDAC","56729","54.8590288100088","At-Risk","Failing","Failing","2017-01-01","YES","COMBINED URANIUM","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","7.50","4.50","1.50","0.60","HIGH","1.50","0.75","0.20","HIGH","0.67","0.67","0.09","MEDIUM","0.83","0.42","0.11","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","1.00","2.00","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","HIGH","25% or more sources meeting the criteria (score range: 0.5 < n <= 1)","1.00","3.00","HIGH","50% or more sources exceed an MCL","1","3","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","LOW","Top 25% of systems most at risk of drought and water shortage","0.25","0.50","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","HIGH","2 or more violations","1","2.0","NONE","No Significant Deficiencies over the last three years","0","0.0",3557796.00,0.00,"State Senate District 12","Region 5 Central Valley (Sacramento Office)","2025-11-02"
